Femmes,Hommes,Enfants,WCHR,Classe,TransitTime
1,1,0,0,J,00:00:00
1,1,0,0,J,00:00:00
1,0,0,0,J,00:00:00
1,0,1,0,J,01:45:00
0,1,0,0,J,00:00:00
2,0,0,0,Y,03:30:00
1,0,0,0,Y,00:00:00
1,1,3,0,Y,01:45:00
2,1,1,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
4,0,0,0,Y,00:00:00
2,0,1,0,Y,01:45:00
0,2,0,0,Y,00:00:00
1,0,0,0,Y,01:10:00
1,0,0,0,Y,01:45:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,01:45:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,1,0,Y,00:00:00
2,0,0,0,Y,01:45:00
1,0,0,0,Y,00:00:00
1,1,0,0,Y,00:00:00
11,0,0,0,Y,00:00:00
0,3,0,0,Y,01:45:00
0,1,0,0,Y,03:30:00
0,1,0,0,Y,07:45:00
0,1,0,0,Y,01:10:00
2,0,1,0,Y,01:10:00
1,0,0,0,Y,01:10:00
1,1,0,0,Y,00:00:00
3,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,2,0,0,Y,00:00:00
2,0,0,0,Y,01:45:00
0,1,0,0,J,00:00:00
5,0,0,0,Y,00:00:00
0,3,0,0,Y,03:30:00
0,4,0,0,Y,01:45:00
1,0,0,0,Y,03:30:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,J,00:00:00
1,0,0,0,J,00:00:00
1,0,0,0,Y,00:00:00
1,1,2,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,2,0,0,Y,00:00:00
3,6,1,0,Y,00:00:00
0,1,0,0,Y,03:30:00
0,1,0,0,Y,00:00:00
2,0,0,0,Y,00:00:00
1,0,0,0,Y,03:30:00
0,2,0,0,Y,01:10:00
1,0,0,0,Y,01:10:00
1,0,1,0,J,03:30:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,01:10:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,01:45:00
1,0,2,0,Y,01:45:00
1,0,0,0,Y,01:10:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,0,0,0,Y,00:00:00
1,1,1,0,Y,00:00:00
1,1,1,0,Y,00:00:00
1,1,0,0,Y,00:00:00
0,1,0,0,Y,01:45:00
2,0,1,0,Y,00:00:00
1,0,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
0,1,0,0,Y,00:00:00
