ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,femmes,Business,inf,65.0,3,7,3F
0,1,hommes,Business,inf,80.0,3,5,3D
1,2,femmes,Business,inf,65.01,2,3,2C
1,3,hommes,Business,inf,80.01,2,5,2D
2,4,femmes,Business,inf,65.02,4,5,4D
3,5,femmes,Business,105.0,65.03,1,3,1C
3,6,enfants,Business,105.0,35.0,1,1,1A
4,7,hommes,Business,inf,80.02,3,1,3A
5,8,femmes,Economie,210.0,65.04,16,2,16B
5,9,femmes,Economie,210.0,65.05,16,1,16A
6,10,femmes,Economie,inf,65.06,30,3,29C
7,11,femmes,Economie,105.0,65.07,14,2,14B
7,12,hommes,Economie,105.0,80.03,13,3,12C
7,13,enfants,Economie,105.0,35.01,14,1,14A
7,14,enfants,Economie,105.0,35.02,14,3,14C
7,15,enfants,Economie,105.0,35.03,13,2,12B
8,16,femmes,Economie,inf,65.08,29,7,28F
8,17,femmes,Economie,inf,65.09,28,7,27F
8,18,hommes,Economie,inf,80.04,29,6,28E
8,19,enfants,Economie,inf,35.04,28,6,27E
9,20,hommes,Economie,inf,80.05,20,3,20C
10,21,hommes,Economie,inf,80.06,21,5,21D
11,22,femmes,Economie,inf,65.1,29,1,28A
11,23,femmes,Economie,inf,65.11,30,2,29B
11,24,femmes,Economie,inf,65.12,29,2,28B
11,25,femmes,Economie,inf,65.13,30,1,29A
12,26,femmes,Economie,105.0,65.14,15,5,15D
12,27,femmes,Economie,105.0,65.15,15,7,15F
12,28,enfants,Economie,105.0,35.05,15,6,15E
13,29,hommes,Economie,inf,80.07,22,5,22D
13,30,hommes,Economie,inf,80.08,22,6,22E
14,31,femmes,Economie,70.0,65.16,12,5,11D
15,32,femmes,Economie,105.0,65.17,14,5,14D
16,33,hommes,Economie,inf,80.09,31,7,30F
17,34,hommes,Economie,inf,80.1,18,5,18D
18,35,femmes,Economie,105.0,65.18,16,5,16D
19,36,femmes,Economie,inf,65.19,27,7,26F
20,37,femmes,Economie,inf,65.2,32,7,31F
21,38,femmes,Economie,inf,65.21,27,1,26A
21,39,hommes,Economie,inf,80.11,27,2,26B
21,40,enfants,Economie,inf,35.06,27,3,26C
22,41,femmes,Economie,105.0,65.22,14,6,14E
22,42,femmes,Economie,105.0,65.23,14,7,14F
23,43,femmes,Economie,inf,65.24,31,5,30D
