ID Groupe,ID Passager,Catégorie,Classe,Transit Time,Poids,x,y,Siège
0,0,hommes,Business,60.0,80.0,2,1,2A
1,1,femmes,Business,90.0,65.0,5,7,5F
2,2,femmes,Economie,inf,65.01,31,2,30B
3,3,hommes,Economie,inf,80.01,27,7,26F
4,4,hommes,Economie,inf,80.02,31,6,30E
5,5,femmes,Economie,inf,65.02,31,1,30A
6,6,femmes,Economie,inf,65.03,34,2,33B
6,7,hommes,Economie,inf,80.03,34,1,33A
7,8,hommes,Economie,inf,80.04,36,5,35D
8,9,hommes,Economie,inf,80.05,33,7,32F
9,10,femmes,Economie,inf,65.04,35,3,34C
10,11,hommes,Economie,inf,80.06,32,5,31D
11,12,hommes,Economie,inf,80.07,27,2,26B
12,13,femmes,Business,80.0,65.05,4,5,4D
13,14,femmes,Business,60.0,65.06,2,7,2F
13,15,hommes,Business,60.0,80.08,2,6,2E
14,16,femmes,Business,100.0,65.07,7,6,7E
14,17,hommes,Business,100.0,80.09,7,5,7D
15,18,hommes,Economie,inf,80.1,18,5,18D
16,19,hommes,Business,120.0,80.11,7,7,7F
17,20,femmes,Economie,545.0,65.08,11,2,10B
17,21,femmes,Economie,545.0,65.09,11,3,10C
17,22,hommes,Issue de secours,545.0,80.12,10,2,9B
17,23,hommes,Issue de secours,545.0,80.13,10,3,9C
18,24,hommes,Economie,inf,80.14,34,3,33C
19,25,femmes,Economie,inf,65.1,34,6,33E
19,26,hommes,Economie,inf,80.15,34,7,33F
20,27,hommes,Economie,inf,80.16,26,1,25A
21,28,hommes,Economie,inf,80.17,36,1,35A
22,29,femmes,Business,65.0,65.11,3,5,3D
23,30,femmes,Business,55.0,65.12,2,3,2C
24,31,hommes,Economie,inf,80.18,33,2,32B
25,32,femmes,Economie,inf,65.13,22,5,22D
26,33,femmes,Economie,inf,65.14,25,2,24B
27,34,hommes,Economie,inf,80.19,33,3,32C
28,35,femmes,Economie,inf,65.15,32,3,31C
28,36,hommes,Economie,inf,80.2,32,2,31B
29,37,femmes,Economie,inf,65.16,28,3,27C
30,38,femmes,Business,65.0,65.17,2,2,2B
31,39,hommes,Business,50.0,80.21,1,3,1C
32,40,femmes,Business,90.0,65.18,4,7,4F
33,41,hommes,Business,95.0,80.22,6,1,6A
34,42,femmes,Business,75.0,65.19,3,6,3E
34,43,hommes,Business,75.0,80.23,3,7,3F
35,44,femmes,Business,50.0,65.2,1,2,1B
35,45,hommes,Business,50.0,80.24,1,1,1A
36,46,hommes,Issue de secours,210.0,80.25,10,1,9A
37,47,hommes,Economie,inf,80.26,12,6,11E
38,48,femmes,Issue de secours,210.0,65.21,10,6,9E
38,49,hommes,Issue de secours,210.0,80.27,10,7,9F
39,50,hommes,Economie,inf,80.28,28,2,27B
40,51,femmes,Economie,inf,65.22,20,1,20A
41,52,hommes,Business,140.0,80.29,8,3,8C
42,53,hommes,Economie,inf,80.3,30,2,29B
43,54,femmes,Business,70.0,65.23,3,1,3A
43,55,hommes,Business,70.0,80.31,3,2,3B
44,56,femmes,Business,95.0,65.24,6,6,6E
45,57,femmes,Economie,inf,65.25,36,6,35E
46,58,femmes,Economie,inf,65.26,17,7,17F
46,59,hommes,Economie,inf,80.32,17,5,17D
46,60,hommes,Economie,inf,80.33,17,6,17E
47,61,hommes,Issue de secours,inf,80.34,24,7,23F
48,62,femmes,Business,100.0,65.27,6,7,6F
49,63,hommes,Business,100.0,80.35,6,2,6B
50,64,hommes,Economie,530.0,80.36,11,7,10F
51,65,hommes,Economie,530.0,80.37,11,1,10A
52,66,femmes,Economie,inf,65.28,12,2,11B
52,67,hommes,Economie,inf,80.38,12,3,11C
53,68,hommes,Economie,inf,80.39,26,2,25B
54,69,femmes,Business,50.0,65.29,1,7,1F
54,70,hommes,Business,50.0,80.4,1,6,1E
55,71,hommes,Business,45.0,80.41,1,5,1D
56,72,hommes,Business,90.0,80.42,5,1,5A
57,73,hommes,Economie,inf,80.43,36,7,35F
58,74,femmes,Economie,inf,65.3,32,6,31E
59,75,femmes,Economie,inf,65.31,19,2,19B
60,76,femmes,Economie,inf,65.32,28,5,27D
61,77,hommes,Business,120.0,80.44,8,6,8E
62,78,femmes,Business,80.0,65.33,4,3,4C
62,79,hommes,Business,80.0,80.45,4,2,4B
63,80,femmes,Economie,inf,65.34,31,3,30C
64,81,femmes,Economie,inf,65.35,28,7,27F
65,82,femmes,Economie,inf,65.36,22,6,22E
66,83,femmes,Economie,inf,65.37,35,2,34B
67,84,hommes,Economie,inf,80.46,18,2,18B
68,85,femmes,Economie,inf,65.38,30,3,29C
69,86,femmes,Economie,inf,65.39,25,7,24F
70,87,femmes,Business,90.0,65.4,5,5,5D
71,88,hommes,Business,80.0,80.47,4,6,4E
72,89,femmes,Business,90.0,65.41,5,6,5E
73,90,femmes,Economie,inf,65.42,29,2,28B
74,91,hommes,Business,95.0,80.48,6,5,6D
75,92,hommes,Economie,inf,80.49,30,5,29D
76,93,femmes,Economie,inf,65.43,27,1,26A
77,94,femmes,Business,55.0,65.44,2,5,2D
78,95,hommes,Economie,inf,80.5,36,2,35B
79,96,hommes,Business,80.0,80.51,4,1,4A
80,97,hommes,Economie,inf,80.52,35,7,34F
81,98,femmes,Economie,inf,65.45,29,5,28D
81,99,hommes,Economie,inf,80.53,29,6,28E
82,100,femmes,Business,120.0,65.46,7,1,7A
82,101,hommes,Business,120.0,80.54,7,2,7B
83,102,hommes,Business,120.0,80.55,7,3,7C
84,103,hommes,Economie,inf,80.56,21,1,21A
85,104,femmes,Business,135.0,65.47,8,7,8F
86,105,femmes,Business,90.0,65.48,5,2,5B
86,106,hommes,Business,90.0,80.57,5,3,5C
87,107,femmes,Business,100.0,65.49,6,3,6C
88,108,hommes,Economie,inf,80.58,34,5,33D
89,109,femmes,Economie,inf,65.5,28,6,27E
90,110,hommes,Economie,inf,80.59,35,5,34D
91,111,femmes,Business,70.0,65.51,3,3,3C
92,112,hommes,Business,140.0,80.6,8,2,8B
92,113,hommes,Business,140.0,80.61,8,1,8A
93,114,femmes,Economie,inf,65.52,30,7,29F
94,115,femmes,Business,160.0,65.53,8,5,8D
